job,salary,company
财务顾问（Financial Analyst）,11-20K,金知GICC
汽车维修,4-9K,京圳
文案,6-11K,润美玉之光
文案策划,10-15K·13薪,快道
广告文案创意,8-10K,光合尚映
文案,5-8K,龙媒时代
文案策划,8-12K,北京大声恩特娱乐
策略产品运营,15-30K,尚德机构
产品运营,10-15K,果粒科技
产品运营,20-25K,腾讯科技(北京)公司
产品运营专家,7-12K,哈希泰格
POI产品运营专家,20-35K·15薪,马蜂窝
增长产品运营,18-30K,今日头条
产品运营,6-12K,中国太平洋人寿保险
产品运营,15-25K,微博
理财产品运营,20-40K,滴滴
产品总监,25-35K,牛卡福网络科技
产品总监,30-60K,京东集团
产品总监,30-50K,苏宁体育
产品总监,40-70K,同程艺龙
产品总监,25-35K,优贝乐教育
产品总监,40-70K,贝壳找房
产品总监（学生端） (MJ000183),35-60K·15薪,聪明核桃教育
产品总监,30-35K,富通科技
新媒体运营,5-8K,禾葡兰
web前端,10-15K,新致软件
web前端,12-15K,京东集团
web前端,10-15K,宇信科技
web前端,9-18K,方正电子
web前端,15-20K,软通动力
web前端,8-13K,太极股份
web前端,20-40K,学霸君
PHP,18-25K,百度
PHP工程师,20-35K,寺库
PHP,11-20K,博彦科技
PHP,30-50K,美菜网
PHP,30-60K,映客直播
PHP,6-10K,技能云_SkillCloud.cn
高级PHP工程师,20-35K·15薪,百度
高级PHP工程师,25-35K·14薪,京东集团
PHP,20-40K,百度
平面设计,8-12K,我爱我家
市场营销,6-12K,华文创展(通信)
市场营销,5-10K,北京麦田房产
市场营销,5-8K,北京麦田房产
市场营销,6-7K,鲁海食品
市场营销,5-10K,万门教育
市场营销月薪16000元,12-20K,招商银行信用卡中心
市场营销调查专员,20-40K,中国人寿保险股份公司
市场营销,10-20K,招商银行信用卡中心
UI设计师,5-10K,东信北邮
产品经理,20-40K,自如网
行政主管,7-10K,成名时代
行政主管,7-10K,豆盟
行政主管,10-15K·14薪,58到家
行政收银主管—COS北京店(J13166),6-8K,H&M
风控,8-12K,平安普惠投资咨询有限公司
风控模型总监,30-60K,易梦缘科技
风控,7-10K,鸿泰鼎石资产管理
Java架构师（风控）,25-45K·14薪,中关村科金
风控算法工程师,20-30K,马上消费金融
